algorithm,d_final,family,instance_id,k_final,status,time_sec
GRASP,54.007529346594374,R1,R101,1.0,success,4.870063304901123
VND,54.007529346594374,R1,R101,1,success,4.868179559707642
ILS,55.27296525778705,R1,R101,1.0,success,1.5499248504638672
GRASP,59.09300324849883,R1,R102,1.0,success,5.991251707077026
VND,59.09300324849883,R1,R102,1,success,6.039170265197754
ILS,62.33145947244955,R1,R102,1.0,success,1.2785942554473877
GRASP,67.37639870697338,R1,R103,1.0,success,4.5402512550354
VND,67.37639870697338,R1,R103,1,success,4.464540481567383
ILS,68.3051777498693,R1,R103,1.0,success,1.294252872467041
GRASP,59.391764804200186,R1,R104,1.0,success,3.706749439239502
VND,59.391764804200186,R1,R104,1,success,3.732377529144287
ILS,59.391764804200186,R1,R104,1.0,success,1.2909822463989258
GRASP,55.528228979146654,R1,R105,1.0,success,3.6927132606506348
VND,55.528228979146654,R1,R105,1,success,3.6474287509918213
ILS,55.528228979146654,R1,R105,1.0,success,1.2635273933410645
GRASP,59.391764804200186,R1,R106,1.0,success,3.6946964263916016
VND,59.391764804200186,R1,R106,1,success,3.725674867630005
ILS,59.391764804200186,R1,R106,1.0,success,1.2952840328216553
GRASP,64.70512723358232,R1,R107,1.0,success,6.001117944717407
VND,64.70512723358232,R1,R107,1,success,6.058336973190308
ILS,79.77672893330615,R1,R107,1.0,success,1.2738986015319824
GRASP,64.70512723358232,R1,R108,1.0,success,6.062072277069092
VND,64.70512723358232,R1,R108,1,success,6.1801064014434814
ILS,71.98188659749917,R1,R108,1.0,success,1.2860112190246582
GRASP,59.13189564301204,R1,R109,1.0,success,5.771162748336792
VND,59.13189564301204,R1,R109,1,success,5.719398498535156
ILS,61.62825601150996,R1,R109,1.0,success,1.3085145950317383
GRASP,61.35655527146817,R1,R110,1.0,success,3.5874314308166504
VND,61.35655527146817,R1,R110,1,success,3.6317520141601562
ILS,61.35655527146817,R1,R110,1.0,success,1.2954990863800049
GRASP,61.856583317536284,R1,R111,1.0,success,4.409503936767578
VND,61.856583317536284,R1,R111,1,success,4.460195779800415
ILS,62.43691829841907,R1,R111,1.0,success,1.3157155513763428
GRASP,65.12301683739044,R1,R112,1.0,success,4.5941150188446045
VND,65.12301683739044,R1,R112,1,success,4.618821859359741
ILS,68.28515696998095,R1,R112,1.0,success,1.3044052124023438
