algorithm,d_bks,d_final,delta_K,family,gap_distance,gap_percent,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GRASP,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19.0,True,success,28.16990637779236
VND,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19,True,success,30.537567138671875
ILS,1650.79864,791.5402505769351,-12,R1,,,R101,19,7.0,False,success,35.02919363975525
GRASP,1486.85859,1464.6866292511756,1,R1,,,R102,17,18.0,False,success,30.6033296585083
VND,1486.85859,1464.6866292511756,1,R1,,,R102,17,18,False,success,26.93218231201172
ILS,1486.85859,809.6714271724104,-9,R1,,,R102,17,8.0,False,success,19.72223138809204
GRASP,1292.67493,1255.7898470594953,1,R1,,,R103,13,14.0,False,success,18.18416452407837
VND,1292.67493,1255.7898470594953,1,R1,,,R103,13,14,False,success,18.05819797515869
ILS,1292.67493,843.382166758777,-5,R1,,,R103,13,8.0,False,success,32.59868884086609
GRASP,1007.31005,992.0394183148143,2,R1,,,R104,9,11.0,False,success,24.74012279510498
VND,1007.31005,992.0394183148143,2,R1,,,R104,9,11,False,success,15.662736415863037
ILS,1007.31005,854.2062765053995,0,R1,-153.10377349460055,-15.199269926335049,R104,9,9.0,True,success,14.963409423828125
GRASP,1377.11046,1277.8291262613516,1,R1,,,R105,14,15.0,False,success,7.68962836265564
VND,1377.11046,1277.8291262613516,1,R1,,,R105,14,15,False,success,7.698204517364502
ILS,1377.11046,951.1574377791342,-3,R1,,,R105,14,11.0,False,success,8.506778717041016
GRASP,1252.03013,1199.0378307925125,2,R1,,,R106,12,14.0,False,success,6.371561765670776
VND,1252.03013,1199.0378307925125,2,R1,,,R106,12,14,False,success,6.333620309829712
ILS,1252.03013,905.1127782820685,-2,R1,,,R106,12,10.0,False,success,8.002992868423462
GRASP,1104.65547,1081.693823480533,2,R1,,,R107,10,12.0,False,success,6.9326159954071045
VND,1104.65547,1081.693823480533,2,R1,,,R107,10,12,False,success,7.330721139907837
ILS,1104.65547,828.8971781100012,-2,R1,,,R107,10,8.0,False,success,9.812750577926636
GRASP,960.87528,1003.3615092743455,1,R1,,,R108,9,10.0,False,success,6.399622201919556
VND,960.87528,1003.3615092743455,1,R1,,,R108,9,10,False,success,6.4574503898620605
ILS,960.87528,824.5287703515153,-1,R1,,,R108,9,8.0,False,success,10.980654001235962
GRASP,1194.73359,1196.6002355611715,3,R1,,,R109,11,14.0,False,success,5.699729919433594
VND,1194.73359,1196.6002355611715,3,R1,,,R109,11,14,False,success,5.844658136367798
ILS,1194.73359,894.5471761849317,-1,R1,,,R109,11,10.0,False,success,8.522468328475952
GRASP,1118.83808,1175.8352697972216,2,R1,,,R110,10,12.0,False,success,14.60935664176941
VND,1118.83808,1175.8352697972216,2,R1,,,R110,10,12,False,success,14.733118295669556
ILS,1118.83808,863.3593747424453,-1,R1,,,R110,10,9.0,False,success,8.883732557296753
GRASP,1096.72605,1116.076112026474,2,R1,,,R111,10,12.0,False,success,5.81328821182251
VND,1096.72605,1116.076112026474,2,R1,,,R111,10,12,False,success,5.966660022735596
ILS,1096.72605,821.430720858241,-2,R1,,,R111,10,8.0,False,success,15.113993644714355
GRASP,982.13919,1026.563358438772,2,R1,,,R112,9,11.0,False,success,20.12792181968689
VND,982.13919,1026.563358438772,2,R1,,,R112,9,11,False,success,20.07818055152893
ILS,982.13919,828.9002315161944,-1,R1,,,R112,9,8.0,False,success,15.058622598648071
