algorithm,d_bks,d_final,delta_K,family,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GAA_Algorithm_1,1650.79864,702.4451355313403,-18,R1,R101,19,1,False,success,0.16695141792297363
GAA_Algorithm_2,1650.79864,177.66898200662393,-18,R1,R101,19,1,False,success,0.06594061851501465
GAA_Algorithm_3,1650.79864,1918.9730412476035,1,R1,R101,19,20,False,success,0.467242956161499
GAA_Algorithm_1,1486.85859,724.6810241372077,-16,R1,R102,17,1,False,success,0.1707613468170166
GAA_Algorithm_2,1486.85859,177.66898200662393,-16,R1,R102,17,1,False,success,0.062180519104003906
GAA_Algorithm_3,1486.85859,1896.3451530965842,2,R1,R102,17,19,False,success,0.5860128402709961
GAA_Algorithm_1,1292.67493,705.9782122061471,-12,R1,R103,13,1,False,success,0.19055676460266113
GAA_Algorithm_2,1292.67493,177.66898200662393,-12,R1,R103,13,1,False,success,0.06288504600524902
GAA_Algorithm_3,1292.67493,1583.53454367954,2,R1,R103,13,15,False,success,0.6528377532958984
GAA_Algorithm_1,1007.31005,720.4384824042994,-8,R1,R104,9,1,False,success,0.16498637199401855
GAA_Algorithm_2,1007.31005,177.66898200662393,-8,R1,R104,9,1,False,success,0.06254839897155762
GAA_Algorithm_3,1007.31005,1239.4339893445847,2,R1,R104,9,11,False,success,0.7501883506774902
GAA_Algorithm_1,1377.11046,744.7373646800227,-13,R1,R105,14,1,False,success,0.17235469818115234
GAA_Algorithm_2,1377.11046,177.66898200662393,-13,R1,R105,14,1,False,success,0.06273293495178223
GAA_Algorithm_3,1377.11046,1606.2052147348402,2,R1,R105,14,16,False,success,0.5506742000579834
GAA_Algorithm_1,1252.03013,709.2167411560015,-11,R1,R106,12,1,False,success,0.1690821647644043
GAA_Algorithm_2,1252.03013,177.66898200662393,-11,R1,R106,12,1,False,success,0.06146979331970215
GAA_Algorithm_3,1252.03013,1658.1193202808224,4,R1,R106,12,16,False,success,0.6191906929016113
GAA_Algorithm_1,1104.65547,713.949484813908,-9,R1,R107,10,1,False,success,0.17639946937561035
GAA_Algorithm_2,1104.65547,177.66898200662393,-9,R1,R107,10,1,False,success,0.06354141235351562
GAA_Algorithm_3,1104.65547,1472.1475144689014,4,R1,R107,10,14,False,success,0.6833069324493408
GAA_Algorithm_1,960.87528,732.0618959331147,-8,R1,R108,9,1,False,success,0.16796469688415527
GAA_Algorithm_2,960.87528,177.66898200662393,-8,R1,R108,9,1,False,success,0.06262779235839844
GAA_Algorithm_3,960.87528,1286.6958070262056,2,R1,R108,9,11,False,success,0.7534677982330322
GAA_Algorithm_1,1194.73359,686.1042180441406,-10,R1,R109,11,1,False,success,0.16833806037902832
GAA_Algorithm_2,1194.73359,177.66898200662393,-10,R1,R109,11,1,False,success,0.06255555152893066
GAA_Algorithm_3,1194.73359,1465.5156044052171,3,R1,R109,11,14,False,success,0.6193234920501709
GAA_Algorithm_1,1118.83808,725.9077534496399,-9,R1,R110,10,1,False,success,0.1736445426940918
GAA_Algorithm_2,1118.83808,177.66898200662393,-9,R1,R110,10,1,False,success,0.06344008445739746
GAA_Algorithm_3,1118.83808,1367.8203693554192,2,R1,R110,10,12,False,success,0.6673152446746826
GAA_Algorithm_1,1096.72605,700.9744674032047,-9,R1,R111,10,1,False,success,0.17488980293273926
GAA_Algorithm_2,1096.72605,177.66898200662393,-9,R1,R111,10,1,False,success,0.06461262702941895
GAA_Algorithm_3,1096.72605,1328.948291065708,3,R1,R111,10,13,False,success,0.6751062870025635
GAA_Algorithm_1,982.13919,708.890990915759,-8,R1,R112,9,1,False,success,0.1763134002685547
GAA_Algorithm_2,982.13919,177.66898200662393,-8,R1,R112,9,1,False,success,0.0633394718170166
GAA_Algorithm_3,982.13919,1228.2957939133044,2,R1,R112,9,11,False,success,0.7035799026489258
