Familia C1

Test	Vehicles	Distance
C101	10	828.93664
C102	10	828.93664
C103	10	828.06464
C104	10	824.77646
C105	10	828.93664
C106	10	828.93664
C107	10	828.93664
C108	10	828.93664
C109	10	828.93664


Familia C2

Test	Vehicles	Distance
C201	3	591.55626
C202	3	591.55626
C203	3	591.17315
C204	3	590.59845
C205	3	588.87566
C206	3	588.49255
C207	3	588.28602
C208	3	588.32350

Familia R1

Test	Vehicles	Distance
R101	19	1650.79864
R102	17	1486.85859
R103	13	1292.67493
R104	9	1007.31005
R105	14	1377.11046
R106	12	1252.03013
R107	10	1104.65547
R108	9	960.87528
R109	11	1194.73359
R110	10	1118.83808
R111	10	1096.72605
R112	9	982.13919

Familia R2

Test	Vehicles	Distance
R201	4	1252.37074
R202	3	1191.70252
R203	3	939.50286
R204	2	825.51880
R205	3	994.42722
R206	3	906.14164
R207	2	890.60784
R208	2	726.82234
R209	3	909.16288
R210	3	939.37224
R211	2	885.71093

Familia RC1

Test	Vehicles	Distance
RC101	14	1696.94871
RC102	12	1554.74684
RC103	11	1261.67143
RC104	10	1135.47902
RC105	13	1629.43589
RC106	11	1424.73327
RC107	11	1230.47709
RC108	10	1139.82108

Familia RC2

Test	Vehicles	Distance
RC201	4	1406.93961
RC202	3	1365.64462
RC203	3	1049.62383
RC204	3	798.46323
RC205	4	1297.64736
RC206	3	1146.31689
RC207	3	1061.14420
RC208	3	828.14110

