================================================================================
TIMING REPORT
================================================================================
Mode: FULL
Start: 2026-01-03T01:38:53.444257
Total Experiments: 168
  - Algorithms: 3
  - Instances: 56
  - Repetitions: 1
================================================================================

[OK] GAA_Algorithm_1 | C101    (C1) | K=10, D=  1522.0, t=  5.75s
[OK] GAA_Algorithm_2 | C101    (C1) | K=10, D=  1103.2, t=  0.19s
[OK] GAA_Algorithm_3 | C101    (C1) | K=15, D=  1835.9, t=  0.56s
[OK] GAA_Algorithm_1 | C102    (C1) | K=10, D=  1461.4, t=  5.56s
[OK] GAA_Algorithm_2 | C102    (C1) | K=10, D=  1103.2, t=  0.19s
[OK] GAA_Algorithm_3 | C102    (C1) | K=14, D=  1868.3, t=  0.66s
[OK] GAA_Algorithm_1 | C103    (C1) | K=10, D=  1504.5, t=  4.95s
[OK] GAA_Algorithm_2 | C103    (C1) | K=10, D=  1103.2, t=  0.19s
[OK] GAA_Algorithm_3 | C103    (C1) | K=11, D=  1629.0, t=  0.79s
[OK] GAA_Algorithm_1 | C104    (C1) | K=10, D=  1491.2, t=  5.28s
[OK] GAA_Algorithm_2 | C104    (C1) | K=10, D=  1103.2, t=  0.19s
[OK] GAA_Algorithm_3 | C104    (C1) | K=12, D=  1451.5, t=  0.78s
[OK] GAA_Algorithm_1 | C105    (C1) | K=10, D=  1466.7, t=  5.41s
[OK] GAA_Algorithm_2 | C105    (C1) | K=10, D=  1103.2, t=  0.19s
[OK] GAA_Algorithm_3 | C105    (C1) | K=14, D=  1813.3, t=  0.55s
[OK] GAA_Algorithm_1 | C106    (C1) | K=10, D=  1391.5, t=  5.24s
[OK] GAA_Algorithm_2 | C106    (C1) | K=10, D=  1103.2, t=  0.19s
[OK] GAA_Algorithm_3 | C106    (C1) | K=14, D=  1772.8, t=  0.57s
[OK] GAA_Algorithm_1 | C107    (C1) | K=10, D=  1494.3, t=  5.33s
[OK] GAA_Algorithm_2 | C107    (C1) | K=10, D=  1103.2, t=  0.19s
[OK] GAA_Algorithm_3 | C107    (C1) | K=14, D=  1825.7, t=  0.56s
[OK] GAA_Algorithm_1 | C108    (C1) | K=10, D=  1532.1, t=  5.07s
[OK] GAA_Algorithm_2 | C108    (C1) | K=10, D=  1103.2, t=  0.18s
[OK] GAA_Algorithm_3 | C108    (C1) | K=12, D=  1601.3, t=  0.63s
[OK] GAA_Algorithm_1 | C109    (C1) | K=10, D=  1503.1, t=  4.70s
[OK] GAA_Algorithm_2 | C109    (C1) | K=10, D=  1103.2, t=  0.19s
[OK] GAA_Algorithm_3 | C109    (C1) | K=12, D=  1661.2, t=  0.67s
[OK] GAA_Algorithm_1 | C201    (C2) | K=10, D=  1822.7, t=  5.04s
[OK] GAA_Algorithm_2 | C201    (C2) | K=10, D=  1148.8, t=  0.18s
[OK] GAA_Algorithm_3 | C201    (C2) | K=10, D=  1188.3, t=  0.82s
[OK] GAA_Algorithm_1 | C202    (C2) | K=10, D=  1657.4, t=  4.87s
[OK] GAA_Algorithm_2 | C202    (C2) | K=10, D=  1148.8, t=  0.18s
[OK] GAA_Algorithm_3 | C202    (C2) | K= 9, D=  1214.3, t=  0.80s
[OK] GAA_Algorithm_1 | C203    (C2) | K=10, D=  1762.4, t=  4.83s
[OK] GAA_Algorithm_2 | C203    (C2) | K=10, D=  1148.8, t=  0.18s
[OK] GAA_Algorithm_3 | C203    (C2) | K=10, D=  1204.9, t=  0.78s
[OK] GAA_Algorithm_1 | C204    (C2) | K=10, D=  1661.8, t=  4.92s
