algorithm_id,instance_id,family,run_id,random_seed,K_final,D_final,K_BKS,D_BKS,delta_K,gap_distance,gap_percent,total_time_sec,iterations_executed,reached_K_BKS
GAA_Algorithm_1,R101,R1,0,42,9,766.2477873366181,9,838.1392153781403,0,-71.8914280415222,-8.577504395744947,4.163304466953698,157,True
GAA_Algorithm_2,R101,R1,0,42,9,1769.621027583955,9,1659.2235355068842,0,110.39749207707086,6.653563532254561,5.097599104808294,137,True
GAA_Algorithm_3,R101,R1,0,42,11,949.5442871635156,11,807.7985116136732,0,141.7457755498424,17.54716968550591,6.490696974941134,123,True
GAA_Algorithm_1,R102,R1,0,42,12,2048.6556866481374,11,1948.6556866481374,1,,,4.682972725563134,91,False
GAA_Algorithm_2,R102,R1,0,42,13,1916.9932396169518,12,1816.9932396169518,1,,,6.018630156834456,183,False
GAA_Algorithm_3,R102,R1,0,42,9,1635.408438939452,9,1443.473709745641,0,191.9347291938111,13.296724969631246,4.892671886041768,150,True
GAA_Algorithm_1,R103,R1,0,42,11,1700.7357729303285,11,1542.2237028370953,0,158.5120700932332,10.278150296979115,5.886760726283811,170,True
GAA_Algorithm_2,R103,R1,0,42,10,1173.4779307818562,9,1073.4779307818562,1,,,4.446939818010536,90,False
GAA_Algorithm_3,R103,R1,0,42,10,1292.17456075753,10,1256.1514700469993,0,36.023090710530596,2.8677346298995916,7.170552133203752,100,True
GAA_Algorithm_1,R104,R1,0,42,11,1714.7563032907974,11,1604.210209253232,0,110.54609403756535,6.890998037534316,6.417738327683336,89,True
GAA_Algorithm_2,R104,R1,0,42,10,1132.4511737370462,10,1093.7731101817114,0,38.6780635553348,3.5362053789116388,4.34973913392139,198,True
GAA_Algorithm_3,R104,R1,0,42,10,1944.2222776916449,10,1811.4223042277715,0,132.79997346387336,7.331254183738639,4.145240359820522,84,True
GAA_Algorithm_1,R105,R1,0,42,11,1053.3671635095202,11,879.4263262538567,0,173.9408372556635,19.778898136539688,5.835900257392511,171,True
GAA_Algorithm_2,R105,R1,0,42,12,1499.0775113907328,11,1399.0775113907328,1,,,7.423415769433513,162,False
GAA_Algorithm_3,R105,R1,0,42,13,1067.5563834306076,12,967.5563834306076,1,,,6.724944910458033,148,False
GAA_Algorithm_1,R106,R1,0,42,11,1389.1804702371926,11,1314.1205927534957,0,75.05987748369694,5.711795241441496,4.809982218568055,97,True
GAA_Algorithm_2,R106,R1,0,42,13,956.5396505096815,12,856.5396505096815,1,,,3.548245651753296,160,False
GAA_Algorithm_3,R106,R1,0,42,10,1225.650272005208,10,1306.5919601596208,0,-80.94168815441276,-6.194871132111087,4.908096432532684,139,True
GAA_Algorithm_1,R107,R1,0,42,11,1736.3799492642436,11,1832.9356426813977,0,-96.55569341715409,-5.267816892681674,6.603609096800973,167,True
GAA_Algorithm_2,R107,R1,0,42,11,1196.2606062314821,11,1208.2105676372544,0,-11.949961405772228,-0.9890628112234829,3.7907887717233484,80,True
GAA_Algorithm_3,R107,R1,0,42,11,1766.6591412437754,11,1714.3546388624777,0,52.30450238129765,3.0509733048001757,3.532054113988525,160,True
GAA_Algorithm_1,R108,R1,0,42,11,1368.868788902581,11,1409.195458373161,0,-40.3266694705801,-2.861680346112883,4.869569262955739,100,True
GAA_Algorithm_2,R108,R1,0,42,9,1319.8871672310058,9,1386.3268496347373,0,-66.43968240373147,-4.792497701479032,4.814903835904667,186,True
GAA_Algorithm_3,R108,R1,0,42,12,1189.0459109366798,11,1089.0459109366798,1,,,5.83678471844455,90,False
GAA_Algorithm_1,R109,R1,0,42,9,1972.6232522073065,9,1779.227904104106,0,193.39534810320038,10.869622022962858,5.6635308476475785,96,True
GAA_Algorithm_2,R109,R1,0,42,10,1885.7565033382275,10,1936.2184156459891,0,-50.46191230776162,-2.606209707540964,5.63836893709127,157,True
GAA_Algorithm_3,R109,R1,0,42,12,2041.275750593354,12,1914.6961916026123,0,126.57955899074159,6.610947446696164,6.449338160498107,171,True
GAA_Algorithm_1,R110,R1,0,42,11,1618.0505023247279,11,1606.0243515659397,0,12.026150758788162,0.7488149695278388,7.4980704232147275,137,True
GAA_Algorithm_2,R110,R1,0,42,10,976.8310755916139,9,876.8310755916139,1,,,3.1051713000352943,150,False
GAA_Algorithm_3,R110,R1,0,42,10,920.9812907466485,10,808.6290067821122,0,112.35228396453624,13.894169393160286,3.294368834381617,88,True
GAA_Algorithm_1,R111,R1,0,42,9,856.4302101770827,9,885.0288198663841,0,-28.598609689301384,-3.2313760916417404,6.3448888914814034,107,True
GAA_Algorithm_2,R111,R1,0,42,10,1931.7231850851551,10,1858.8596901688852,0,72.86349491626993,3.9197953079314973,4.214986211978623,140,True
GAA_Algorithm_3,R111,R1,0,42,13,1016.316977074588,12,916.316977074588,1,,,5.155255912031888,134,False
GAA_Algorithm_1,R112,R1,0,42,12,1776.9003835398114,12,1674.891019351821,0,102.00936418799051,6.090507561946802,7.9208260568298305,92,True
GAA_Algorithm_2,R112,R1,0,42,9,1365.664887379793,9,1207.1631264739558,0,158.50176090583727,13.130102918965934,4.243281669601428,104,True
GAA_Algorithm_3,R112,R1,0,42,13,1120.1856429446798,12,1020.1856429446799,1,,,5.313140342004837,191,False
