algorithm,d_final,error,family,instance_id,k_final,status,time_sec
GRASP,54.007529346594374,,R1,R101,1.0,success,4.795638561248779
VND,,'RandomizedInsertion' object has no attribute 'construct',R1,R101,,failed,1.7404556274414062e-05
ILS,55.27296525778705,,R1,R101,1.0,success,1.5042870044708252
GRASP,59.09300324849883,,R1,R102,1.0,success,6.10654616355896
VND,,'RandomizedInsertion' object has no attribute 'construct',R1,R102,,failed,1.621246337890625e-05
ILS,62.33145947244955,,R1,R102,1.0,success,1.292334794998169
GRASP,67.37639870697338,,R1,R103,1.0,success,5.327531099319458
VND,,'RandomizedInsertion' object has no attribute 'construct',R1,R103,,failed,1.6689300537109375e-05
ILS,68.3051777498693,,R1,R103,1.0,success,1.2886407375335693
GRASP,59.391764804200186,,R1,R104,1.0,success,3.7535789012908936
VND,,'RandomizedInsertion' object has no attribute 'construct',R1,R104,,failed,1.5974044799804688e-05
ILS,59.391764804200186,,R1,R104,1.0,success,1.278688907623291
GRASP,55.528228979146654,,R1,R105,1.0,success,3.652451276779175
VND,,'RandomizedInsertion' object has no attribute 'construct',R1,R105,,failed,1.621246337890625e-05
ILS,55.528228979146654,,R1,R105,1.0,success,1.2589688301086426
GRASP,59.391764804200186,,R1,R106,1.0,success,3.7255985736846924
VND,,'RandomizedInsertion' object has no attribute 'construct',R1,R106,,failed,1.5735626220703125e-05
ILS,59.391764804200186,,R1,R106,1.0,success,1.3020617961883545
GRASP,64.70512723358232,,R1,R107,1.0,success,6.032851696014404
VND,,'RandomizedInsertion' object has no attribute 'construct',R1,R107,,failed,1.621246337890625e-05
ILS,79.77672893330615,,R1,R107,1.0,success,1.2956066131591797
GRASP,64.70512723358232,,R1,R108,1.0,success,6.122103452682495
VND,,'RandomizedInsertion' object has no attribute 'construct',R1,R108,,failed,1.5735626220703125e-05
ILS,71.98188659749917,,R1,R108,1.0,success,1.2922892570495605
GRASP,59.13189564301204,,R1,R109,1.0,success,5.82371711730957
VND,,'RandomizedInsertion' object has no attribute 'construct',R1,R109,,failed,1.5974044799804688e-05
ILS,61.62825601150996,,R1,R109,1.0,success,1.2940044403076172
GRASP,61.35655527146817,,R1,R110,1.0,success,3.675288200378418
VND,,'RandomizedInsertion' object has no attribute 'construct',R1,R110,,failed,1.5497207641601562e-05
ILS,61.35655527146817,,R1,R110,1.0,success,1.2739253044128418
GRASP,61.856583317536284,,R1,R111,1.0,success,4.433315992355347
VND,,'RandomizedInsertion' object has no attribute 'construct',R1,R111,,failed,1.4781951904296875e-05
ILS,62.43691829841907,,R1,R111,1.0,success,1.3143880367279053
GRASP,65.12301683739044,,R1,R112,1.0,success,4.609696865081787
VND,,'RandomizedInsertion' object has no attribute 'construct',R1,R112,,failed,1.5497207641601562e-05
ILS,68.28515696998095,,R1,R112,1.0,success,1.287642240524292
