algorithm,d_final,family,instance_id,k_final,status,time_sec
GRASP,54.007529346594374,R1,R101,1.0,success,4.808002233505249
VND,54.007529346594374,R1,R101,1,success,4.839662313461304
ILS,55.27296525778705,R1,R101,1.0,success,1.5577895641326904
GRASP,59.09300324849883,R1,R102,1.0,success,6.008726596832275
VND,59.09300324849883,R1,R102,1,success,6.105488538742065
ILS,62.33145947244955,R1,R102,1.0,success,1.3274214267730713
GRASP,67.37639870697338,R1,R103,1.0,success,4.508192300796509
VND,67.37639870697338,R1,R103,1,success,4.496718883514404
ILS,68.3051777498693,R1,R103,1.0,success,1.3196947574615479
GRASP,59.391764804200186,R1,R104,1.0,success,3.739276647567749
VND,59.391764804200186,R1,R104,1,success,3.7345354557037354
ILS,59.391764804200186,R1,R104,1.0,success,1.3200926780700684
GRASP,55.528228979146654,R1,R105,1.0,success,3.7096102237701416
VND,55.528228979146654,R1,R105,1,success,3.6568591594696045
ILS,55.528228979146654,R1,R105,1.0,success,1.2789337635040283
GRASP,59.391764804200186,R1,R106,1.0,success,3.754124164581299
VND,59.391764804200186,R1,R106,1,success,3.7597296237945557
ILS,59.391764804200186,R1,R106,1.0,success,1.2922933101654053
GRASP,64.70512723358232,R1,R107,1.0,success,6.0739545822143555
VND,64.70512723358232,R1,R107,1,success,6.1316773891448975
ILS,79.77672893330615,R1,R107,1.0,success,1.2944600582122803
GRASP,64.70512723358232,R1,R108,1.0,success,6.126051187515259
VND,64.70512723358232,R1,R108,1,success,6.127208471298218
ILS,71.98188659749917,R1,R108,1.0,success,1.2913556098937988
GRASP,59.13189564301204,R1,R109,1.0,success,5.829521894454956
VND,59.13189564301204,R1,R109,1,success,5.813760995864868
ILS,61.62825601150996,R1,R109,1.0,success,1.2946367263793945
GRASP,61.35655527146817,R1,R110,1.0,success,3.607229232788086
VND,61.35655527146817,R1,R110,1,success,3.6252501010894775
ILS,61.35655527146817,R1,R110,1.0,success,1.2829055786132812
GRASP,61.856583317536284,R1,R111,1.0,success,4.447881460189819
VND,61.856583317536284,R1,R111,1,success,4.477006673812866
ILS,62.43691829841907,R1,R111,1.0,success,1.314847707748413
GRASP,65.12301683739044,R1,R112,1.0,success,4.594424247741699
VND,65.12301683739044,R1,R112,1,success,4.625056982040405
ILS,68.28515696998095,R1,R112,1.0,success,1.3178362846374512
