algorithm,d_bks,d_final,delta_K,family,gap_distance,gap_percent,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GRASP,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19.0,True,success,12.239640951156616
VND,1650.79864,1491.7317392397847,0,R1,-159.06690076021528,-9.635754289221808,R101,19,19,True,success,12.347799301147461
ILS,1650.79864,791.5402505769351,-12,R1,,,R101,19,7.0,False,success,13.834972620010376
GRASP,1486.85859,1464.6866292511756,1,R1,,,R102,17,18.0,False,success,13.051889181137085
VND,1486.85859,1464.6866292511756,1,R1,,,R102,17,18,False,success,13.151374101638794
ILS,1486.85859,809.6714271724104,-9,R1,,,R102,17,8.0,False,success,8.961329698562622
GRASP,1292.67493,1255.7898470594953,1,R1,,,R103,13,14.0,False,success,8.291894912719727
VND,1292.67493,1255.7898470594953,1,R1,,,R103,13,14,False,success,8.310966968536377
ILS,1292.67493,843.382166758777,-5,R1,,,R103,13,8.0,False,success,15.02418851852417
GRASP,1007.31005,992.0394183148143,2,R1,,,R104,9,11.0,False,success,14.469544887542725
VND,1007.31005,992.0394183148143,2,R1,,,R104,9,11,False,success,14.624917030334473
ILS,1007.31005,854.2062765053995,0,R1,-153.10377349460055,-15.199269926335049,R104,9,9.0,True,success,13.869198083877563
GRASP,1377.11046,1277.8291262613516,1,R1,,,R105,14,15.0,False,success,7.4085023403167725
VND,1377.11046,1277.8291262613516,1,R1,,,R105,14,15,False,success,7.402982950210571
ILS,1377.11046,951.1574377791342,-3,R1,,,R105,14,11.0,False,success,8.112785339355469
GRASP,1252.03013,1199.0378307925125,2,R1,,,R106,12,14.0,False,success,6.132483005523682
VND,1252.03013,1199.0378307925125,2,R1,,,R106,12,14,False,success,6.282451152801514
ILS,1252.03013,905.1127782820685,-2,R1,,,R106,12,10.0,False,success,8.02706241607666
GRASP,1104.65547,1081.693823480533,2,R1,,,R107,10,12.0,False,success,7.0001184940338135
VND,1104.65547,1081.693823480533,2,R1,,,R107,10,12,False,success,7.085777997970581
ILS,1104.65547,828.8971781100012,-2,R1,,,R107,10,8.0,False,success,9.360624074935913
GRASP,960.87528,1003.3615092743455,1,R1,,,R108,9,10.0,False,success,5.9910736083984375
VND,960.87528,1003.3615092743455,1,R1,,,R108,9,10,False,success,6.154484272003174
ILS,960.87528,824.5287703515153,-1,R1,,,R108,9,8.0,False,success,10.440531730651855
GRASP,1194.73359,1196.6002355611715,3,R1,,,R109,11,14.0,False,success,5.46100926399231
VND,1194.73359,1196.6002355611715,3,R1,,,R109,11,14,False,success,5.501696825027466
ILS,1194.73359,894.5471761849317,-1,R1,,,R109,11,10.0,False,success,8.05393671989441
GRASP,1118.83808,1175.8352697972216,2,R1,,,R110,10,12.0,False,success,13.704896926879883
VND,1118.83808,1175.8352697972216,2,R1,,,R110,10,12,False,success,13.946690320968628
ILS,1118.83808,863.3593747424453,-1,R1,,,R110,10,9.0,False,success,8.32382583618164
GRASP,1096.72605,1116.076112026474,2,R1,,,R111,10,12.0,False,success,5.437365770339966
VND,1096.72605,1116.076112026474,2,R1,,,R111,10,12,False,success,5.510197162628174
ILS,1096.72605,821.430720858241,-2,R1,,,R111,10,8.0,False,success,14.15456509590149
GRASP,982.13919,1026.563358438772,2,R1,,,R112,9,11.0,False,success,18.889108419418335
VND,982.13919,1026.563358438772,2,R1,,,R112,9,11,False,success,18.88196849822998
ILS,982.13919,828.9002315161944,-1,R1,,,R112,9,8.0,False,success,14.132245540618896
