algorithm,d_bks,error,family,instance_id,k_bks,status,time_sec
GAA_Algorithm_1,1650.79864,While.__init__() got an unexpected keyword argument 'condition',R1,R101,19,failed,4.0531158447265625e-05
GAA_Algorithm_2,1650.79864,While.__init__() got an unexpected keyword argument 'condition',R1,R101,19,failed,1.4543533325195312e-05
GAA_Algorithm_3,1650.79864,While.__init__() got an unexpected keyword argument 'condition',R1,R101,19,failed,1.0967254638671875e-05
GAA_Algorithm_1,1486.85859,While.__init__() got an unexpected keyword argument 'condition',R1,R102,17,failed,1.0728836059570312e-05
GAA_Algorithm_2,1486.85859,While.__init__() got an unexpected keyword argument 'condition',R1,R102,17,failed,1.0013580322265625e-05
GAA_Algorithm_3,1486.85859,While.__init__() got an unexpected keyword argument 'condition',R1,R102,17,failed,1.3828277587890625e-05
GAA_Algorithm_1,1292.67493,While.__init__() got an unexpected keyword argument 'condition',R1,R103,13,failed,1.049041748046875e-05
GAA_Algorithm_2,1292.67493,While.__init__() got an unexpected keyword argument 'condition',R1,R103,13,failed,1.1205673217773438e-05
GAA_Algorithm_3,1292.67493,While.__init__() got an unexpected keyword argument 'condition',R1,R103,13,failed,9.298324584960938e-06
GAA_Algorithm_1,1007.31005,While.__init__() got an unexpected keyword argument 'condition',R1,R104,9,failed,8.821487426757812e-06
GAA_Algorithm_2,1007.31005,While.__init__() got an unexpected keyword argument 'condition',R1,R104,9,failed,1.0967254638671875e-05
GAA_Algorithm_3,1007.31005,While.__init__() got an unexpected keyword argument 'condition',R1,R104,9,failed,1.3828277587890625e-05
GAA_Algorithm_1,1377.11046,While.__init__() got an unexpected keyword argument 'condition',R1,R105,14,failed,1.0728836059570312e-05
GAA_Algorithm_2,1377.11046,While.__init__() got an unexpected keyword argument 'condition',R1,R105,14,failed,1.0967254638671875e-05
GAA_Algorithm_3,1377.11046,While.__init__() got an unexpected keyword argument 'condition',R1,R105,14,failed,1.0967254638671875e-05
GAA_Algorithm_1,1252.03013,While.__init__() got an unexpected keyword argument 'condition',R1,R106,12,failed,1.0967254638671875e-05
GAA_Algorithm_2,1252.03013,While.__init__() got an unexpected keyword argument 'condition',R1,R106,12,failed,1.0251998901367188e-05
GAA_Algorithm_3,1252.03013,While.__init__() got an unexpected keyword argument 'condition',R1,R106,12,failed,9.5367431640625e-06
GAA_Algorithm_1,1104.65547,While.__init__() got an unexpected keyword argument 'condition',R1,R107,10,failed,1.0967254638671875e-05
GAA_Algorithm_2,1104.65547,While.__init__() got an unexpected keyword argument 'condition',R1,R107,10,failed,1.0728836059570312e-05
GAA_Algorithm_3,1104.65547,While.__init__() got an unexpected keyword argument 'condition',R1,R107,10,failed,1.8835067749023438e-05
GAA_Algorithm_1,960.87528,While.__init__() got an unexpected keyword argument 'condition',R1,R108,9,failed,9.298324584960938e-06
GAA_Algorithm_2,960.87528,While.__init__() got an unexpected keyword argument 'condition',R1,R108,9,failed,1.0728836059570312e-05
GAA_Algorithm_3,960.87528,While.__init__() got an unexpected keyword argument 'condition',R1,R108,9,failed,9.5367431640625e-06
GAA_Algorithm_1,1194.73359,While.__init__() got an unexpected keyword argument 'condition',R1,R109,11,failed,9.5367431640625e-06
GAA_Algorithm_2,1194.73359,While.__init__() got an unexpected keyword argument 'condition',R1,R109,11,failed,8.344650268554688e-06
GAA_Algorithm_3,1194.73359,While.__init__() got an unexpected keyword argument 'condition',R1,R109,11,failed,1.1920928955078125e-05
GAA_Algorithm_1,1118.83808,While.__init__() got an unexpected keyword argument 'condition',R1,R110,10,failed,1.049041748046875e-05
GAA_Algorithm_2,1118.83808,While.__init__() got an unexpected keyword argument 'condition',R1,R110,10,failed,1.0728836059570312e-05
GAA_Algorithm_3,1118.83808,While.__init__() got an unexpected keyword argument 'condition',R1,R110,10,failed,9.775161743164062e-06
GAA_Algorithm_1,1096.72605,While.__init__() got an unexpected keyword argument 'condition',R1,R111,10,failed,8.344650268554688e-06
GAA_Algorithm_2,1096.72605,While.__init__() got an unexpected keyword argument 'condition',R1,R111,10,failed,9.298324584960938e-06
GAA_Algorithm_3,1096.72605,While.__init__() got an unexpected keyword argument 'condition',R1,R111,10,failed,9.775161743164062e-06
GAA_Algorithm_1,982.13919,While.__init__() got an unexpected keyword argument 'condition',R1,R112,9,failed,8.58306884765625e-06
GAA_Algorithm_2,982.13919,While.__init__() got an unexpected keyword argument 'condition',R1,R112,9,failed,8.58306884765625e-06
GAA_Algorithm_3,982.13919,While.__init__() got an unexpected keyword argument 'condition',R1,R112,9,failed,7.867813110351562e-06
