algorithm,d_bks,d_final,delta_K,family,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GAA_Algorithm_1,1650.79864,702.4451355313403,-18,R1,R101,19,1,False,success,0.16865158081054688
GAA_Algorithm_2,1650.79864,177.66898200662393,-18,R1,R101,19,1,False,success,0.06438589096069336
GAA_Algorithm_3,1650.79864,1918.9730412476035,1,R1,R101,19,20,False,success,0.4812338352203369
GAA_Algorithm_1,1486.85859,724.6810241372077,-16,R1,R102,17,1,False,success,0.17035865783691406
GAA_Algorithm_2,1486.85859,177.66898200662393,-16,R1,R102,17,1,False,success,0.06121516227722168
GAA_Algorithm_3,1486.85859,1896.3451530965842,2,R1,R102,17,19,False,success,0.6250321865081787
GAA_Algorithm_1,1292.67493,705.9782122061471,-12,R1,R103,13,1,False,success,0.1680910587310791
GAA_Algorithm_2,1292.67493,177.66898200662393,-12,R1,R103,13,1,False,success,0.0628213882446289
GAA_Algorithm_3,1292.67493,1583.53454367954,2,R1,R103,13,15,False,success,0.659782886505127
GAA_Algorithm_1,1007.31005,720.4384824042994,-8,R1,R104,9,1,False,success,0.17426228523254395
GAA_Algorithm_2,1007.31005,177.66898200662393,-8,R1,R104,9,1,False,success,0.06271529197692871
GAA_Algorithm_3,1007.31005,1239.4339893445847,2,R1,R104,9,11,False,success,0.7550218105316162
GAA_Algorithm_1,1377.11046,744.7373646800227,-13,R1,R105,14,1,False,success,0.1708974838256836
GAA_Algorithm_2,1377.11046,177.66898200662393,-13,R1,R105,14,1,False,success,0.062384843826293945
GAA_Algorithm_3,1377.11046,1606.2052147348402,2,R1,R105,14,16,False,success,0.5546901226043701
GAA_Algorithm_1,1252.03013,709.2167411560015,-11,R1,R106,12,1,False,success,0.17029118537902832
GAA_Algorithm_2,1252.03013,177.66898200662393,-11,R1,R106,12,1,False,success,0.05993485450744629
GAA_Algorithm_3,1252.03013,1658.1193202808224,4,R1,R106,12,16,False,success,0.6258277893066406
GAA_Algorithm_1,1104.65547,713.949484813908,-9,R1,R107,10,1,False,success,0.17248320579528809
GAA_Algorithm_2,1104.65547,177.66898200662393,-9,R1,R107,10,1,False,success,0.06218314170837402
GAA_Algorithm_3,1104.65547,1472.1475144689014,4,R1,R107,10,14,False,success,0.6867289543151855
GAA_Algorithm_1,960.87528,732.0618959331147,-8,R1,R108,9,1,False,success,0.1728055477142334
GAA_Algorithm_2,960.87528,177.66898200662393,-8,R1,R108,9,1,False,success,0.06178545951843262
GAA_Algorithm_3,960.87528,1286.6958070262056,2,R1,R108,9,11,False,success,0.7733101844787598
GAA_Algorithm_1,1194.73359,686.1042180441406,-10,R1,R109,11,1,False,success,0.17207026481628418
GAA_Algorithm_2,1194.73359,177.66898200662393,-10,R1,R109,11,1,False,success,0.06252408027648926
GAA_Algorithm_3,1194.73359,1465.5156044052171,3,R1,R109,11,14,False,success,0.6376368999481201
GAA_Algorithm_1,1118.83808,725.9077534496399,-9,R1,R110,10,1,False,success,0.1723194122314453
GAA_Algorithm_2,1118.83808,177.66898200662393,-9,R1,R110,10,1,False,success,0.06143307685852051
GAA_Algorithm_3,1118.83808,1367.8203693554192,2,R1,R110,10,12,False,success,0.7001559734344482
GAA_Algorithm_1,1096.72605,700.9744674032047,-9,R1,R111,10,1,False,success,0.17722082138061523
GAA_Algorithm_2,1096.72605,177.66898200662393,-9,R1,R111,10,1,False,success,0.06170248985290527
GAA_Algorithm_3,1096.72605,1328.948291065708,3,R1,R111,10,13,False,success,0.6932742595672607
GAA_Algorithm_1,982.13919,708.890990915759,-8,R1,R112,9,1,False,success,0.16922545433044434
GAA_Algorithm_2,982.13919,177.66898200662393,-8,R1,R112,9,1,False,success,0.05978822708129883
GAA_Algorithm_3,982.13919,1228.2957939133044,2,R1,R112,9,11,False,success,0.757624626159668
