algorithm,d_bks,d_final,delta_K,family,feasible,instance_id,k_bks,k_final,reached_K_BKS,status,time_sec
GAA_Algorithm_1,1650.79864,1502.195928477025,-11,R1,False,R101,19,8,False,success,3.2958085536956787
GAA_Algorithm_2,1650.79864,1172.1800291715338,-11,R1,False,R101,19,8,False,success,0.17722034454345703
GAA_Algorithm_3,1650.79864,1918.9730412476035,1,R1,False,R101,19,20,False,success,0.486008882522583
GAA_Algorithm_1,1486.85859,1322.5517629919175,-9,R1,False,R102,17,8,False,success,3.3167383670806885
GAA_Algorithm_2,1486.85859,1172.1800291715338,-9,R1,False,R102,17,8,False,success,0.17409706115722656
GAA_Algorithm_3,1486.85859,1896.3451530965842,2,R1,False,R102,17,19,False,success,0.6186099052429199
GAA_Algorithm_1,1292.67493,1274.513462902278,-5,R1,False,R103,13,8,False,success,4.4108240604400635
GAA_Algorithm_2,1292.67493,1172.1800291715338,-5,R1,False,R103,13,8,False,success,0.17349576950073242
GAA_Algorithm_3,1292.67493,1583.53454367954,2,R1,False,R103,13,15,False,success,0.6808710098266602
GAA_Algorithm_1,1007.31005,1436.3647446545858,-1,R1,False,R104,9,8,False,success,3.668120861053467
GAA_Algorithm_2,1007.31005,1172.1800291715338,-1,R1,False,R104,9,8,False,success,0.17290234565734863
GAA_Algorithm_3,1007.31005,1239.4339893445847,2,R1,False,R104,9,11,False,success,0.7769491672515869
GAA_Algorithm_1,1377.11046,1507.6608267705956,-6,R1,False,R105,14,8,False,success,3.5468733310699463
GAA_Algorithm_2,1377.11046,1172.1800291715338,-6,R1,False,R105,14,8,False,success,0.17872047424316406
GAA_Algorithm_3,1377.11046,1606.2052147348402,2,R1,False,R105,14,16,False,success,0.5823123455047607
GAA_Algorithm_1,1252.03013,1427.2451188248494,-4,R1,False,R106,12,8,False,success,3.3880841732025146
GAA_Algorithm_2,1252.03013,1172.1800291715338,-4,R1,False,R106,12,8,False,success,0.17401766777038574
GAA_Algorithm_3,1252.03013,1658.1193202808224,4,R1,False,R106,12,16,False,success,0.6931657791137695
GAA_Algorithm_1,1104.65547,1371.344643352995,-2,R1,False,R107,10,8,False,success,2.5541903972625732
GAA_Algorithm_2,1104.65547,1172.1800291715338,-2,R1,False,R107,10,8,False,success,0.17519426345825195
GAA_Algorithm_3,1104.65547,1472.1475144689014,4,R1,False,R107,10,14,False,success,0.7352888584136963
GAA_Algorithm_1,960.87528,1398.536370392606,-1,R1,False,R108,9,8,False,success,2.9128310680389404
GAA_Algorithm_2,960.87528,1172.1800291715338,-1,R1,False,R108,9,8,False,success,0.17447328567504883
GAA_Algorithm_3,960.87528,1286.6958070262056,2,R1,False,R108,9,11,False,success,0.7924304008483887
GAA_Algorithm_1,1194.73359,1321.8460266452073,-3,R1,False,R109,11,8,False,success,3.394350290298462
GAA_Algorithm_2,1194.73359,1172.1800291715338,-3,R1,False,R109,11,8,False,success,0.17597675323486328
GAA_Algorithm_3,1194.73359,1465.5156044052171,3,R1,False,R109,11,14,False,success,0.6410751342773438
GAA_Algorithm_1,1118.83808,1412.3933888830386,-2,R1,False,R110,10,8,False,success,2.965667724609375
GAA_Algorithm_2,1118.83808,1172.1800291715338,-2,R1,False,R110,10,8,False,success,0.17766833305358887
GAA_Algorithm_3,1118.83808,1367.8203693554192,2,R1,False,R110,10,12,False,success,0.7008452415466309
GAA_Algorithm_1,1096.72605,1322.5107066669314,-2,R1,False,R111,10,8,False,success,3.1472034454345703
GAA_Algorithm_2,1096.72605,1172.1800291715338,-2,R1,False,R111,10,8,False,success,0.17619085311889648
GAA_Algorithm_3,1096.72605,1328.948291065708,3,R1,False,R111,10,13,False,success,0.724712610244751
GAA_Algorithm_1,982.13919,1400.8985781045903,-1,R1,False,R112,9,8,False,success,3.8403894901275635
GAA_Algorithm_2,982.13919,1172.1800291715338,-1,R1,False,R112,9,8,False,success,0.17139220237731934
GAA_Algorithm_3,982.13919,1228.2957939133044,2,R1,False,R112,9,11,False,success,0.7521929740905762
