algorithm,instance_id,family,k_final,d_final,time_sec,hit,status,error
GAA_Algorithm_1,R101,R1,8,1502.195928477025,3.2726659774780273,N/A,success,
GAA_Algorithm_2,R101,R1,8,1172.1800291715338,0.17770171165466309,N/A,success,
GAA_Algorithm_3,R101,R1,20,1918.9730412476035,0.4856572151184082,N/A,success,
GAA_Algorithm_1,R102,R1,8,1322.5517629919175,3.3270304203033447,N/A,success,
GAA_Algorithm_2,R102,R1,8,1172.1800291715338,0.17363858222961426,N/A,success,
GAA_Algorithm_3,R102,R1,19,1896.3451530965842,0.6143772602081299,N/A,success,
GAA_Algorithm_1,R103,R1,8,1274.513462902278,4.3494062423706055,N/A,success,
GAA_Algorithm_2,R103,R1,8,1172.1800291715338,0.17412877082824707,N/A,success,
GAA_Algorithm_3,R103,R1,15,1583.53454367954,0.6752533912658691,N/A,success,
GAA_Algorithm_1,R104,R1,8,1436.3647446545858,3.6500489711761475,N/A,success,
GAA_Algorithm_2,R104,R1,8,1172.1800291715338,0.17418622970581055,N/A,success,
GAA_Algorithm_3,R104,R1,11,1239.4339893445847,0.7790687084197998,N/A,success,
GAA_Algorithm_1,R105,R1,8,1507.6608267705956,3.547119617462158,N/A,success,
GAA_Algorithm_2,R105,R1,8,1172.1800291715338,0.17723560333251953,N/A,success,
GAA_Algorithm_3,R105,R1,16,1606.2052147348402,0.6011202335357666,N/A,success,
GAA_Algorithm_1,R106,R1,8,1427.2451188248494,3.410182237625122,N/A,success,
GAA_Algorithm_2,R106,R1,8,1172.1800291715338,0.2059788703918457,N/A,success,
GAA_Algorithm_3,R106,R1,16,1658.1193202808224,0.6835689544677734,N/A,success,
GAA_Algorithm_1,R107,R1,8,1371.344643352995,2.502383232116699,N/A,success,
GAA_Algorithm_2,R107,R1,8,1172.1800291715338,0.17432832717895508,N/A,success,
GAA_Algorithm_3,R107,R1,14,1472.1475144689014,0.703855037689209,N/A,success,
GAA_Algorithm_1,R108,R1,8,1398.536370392606,2.786296844482422,N/A,success,
GAA_Algorithm_2,R108,R1,8,1172.1800291715338,0.1727888584136963,N/A,success,
GAA_Algorithm_3,R108,R1,11,1286.6958070262056,0.7910473346710205,N/A,success,
GAA_Algorithm_1,R109,R1,8,1321.8460266452073,3.3830859661102295,N/A,success,
GAA_Algorithm_2,R109,R1,8,1172.1800291715338,0.1725318431854248,N/A,success,
GAA_Algorithm_3,R109,R1,14,1465.5156044052171,0.6437849998474121,N/A,success,
GAA_Algorithm_1,R110,R1,8,1412.3933888830386,2.8968310356140137,N/A,success,
GAA_Algorithm_2,R110,R1,8,1172.1800291715338,0.1748344898223877,N/A,success,
GAA_Algorithm_3,R110,R1,12,1367.8203693554192,0.6948392391204834,N/A,success,
GAA_Algorithm_1,R111,R1,8,1322.5107066669314,3.0916812419891357,N/A,success,
GAA_Algorithm_2,R111,R1,8,1172.1800291715338,0.17370033264160156,N/A,success,
GAA_Algorithm_3,R111,R1,13,1328.948291065708,0.6991124153137207,N/A,success,
GAA_Algorithm_1,R112,R1,8,1400.8985781045903,3.7652130126953125,N/A,success,
GAA_Algorithm_2,R112,R1,8,1172.1800291715338,0.17429757118225098,N/A,success,
GAA_Algorithm_3,R112,R1,11,1228.2957939133044,0.7342214584350586,N/A,success,
