Instance,Reference_Value,Reference_Type,GAA_Value,GAP_Absolute,GAP_Percent,Is_Optimal,Iterations,Time_s,Vertices,Edges
DSJC1000.1,,UNKNOWN,70.0000,N/A,N/A,NO,50,0.000010,1000,99258
DSJC1000.5,,UNKNOWN,351.0000,N/A,N/A,NO,50,0.000010,1000,499652
DSJC1000.9,,UNKNOWN,630.0000,N/A,N/A,NO,50,0.000010,1000,898898
DSJC125.1,,UNKNOWN,9.0000,N/A,N/A,NO,50,0.000010,125,1472
DSJC125.5,,UNKNOWN,44.0000,N/A,N/A,NO,50,0.000010,125,7782
DSJC125.9,,UNKNOWN,79.0000,N/A,N/A,NO,50,0.000010,125,13922
DSJC250.1,,UNKNOWN,18.0000,N/A,N/A,NO,50,0.000010,250,6436
DSJC250.5,,UNKNOWN,88.0000,N/A,N/A,NO,50,0.000010,250,31366
DSJC250.9,,UNKNOWN,158.0000,N/A,N/A,NO,50,0.000010,250,55794
DSJC500.1,,UNKNOWN,35.0000,N/A,N/A,NO,50,0.000010,500,24916
DSJC500.5,,UNKNOWN,177.0000,N/A,N/A,NO,50,0.000010,500,125249
DSJC500.9,,UNKNOWN,316.0000,N/A,N/A,NO,50,0.000010,500,224874
DSJR500.1,,UNKNOWN,11.0000,N/A,N/A,NO,50,0.000010,500,7110
DSJR500.1c,,UNKNOWN,341.0000,N/A,N/A,NO,50,0.000010,500,242550
DSJR500.5,,UNKNOWN,165.0000,N/A,N/A,NO,50,0.000010,500,117724
