Family,Instance,Vertices,Edges,Fitness,Iterations,Time_s,Status
DSJ,DSJC1000.1,1000,99258,70.0000,50,0.000010,simulated
DSJ,DSJC1000.5,1000,499652,351.0000,50,0.000010,simulated
DSJ,DSJC1000.9,1000,898898,630.0000,50,0.000010,simulated
DSJ,DSJC125.1,125,1472,9.0000,50,0.000010,simulated
DSJ,DSJC125.5,125,7782,44.0000,50,0.000010,simulated
DSJ,DSJC125.9,125,13922,79.0000,50,0.000010,simulated
DSJ,DSJC250.1,250,6436,18.0000,50,0.000010,simulated
DSJ,DSJC250.5,250,31366,88.0000,50,0.000010,simulated
DSJ,DSJC250.9,250,55794,158.0000,50,0.000010,simulated
DSJ,DSJC500.1,500,24916,35.0000,50,0.000010,simulated
DSJ,DSJC500.5,500,125249,177.0000,50,0.000010,simulated
DSJ,DSJC500.9,500,224874,316.0000,50,0.000010,simulated
DSJ,DSJR500.1,500,7110,11.0000,50,0.000010,simulated
DSJ,DSJR500.1c,500,242550,341.0000,50,0.000010,simulated
DSJ,DSJR500.5,500,117724,165.0000,50,0.000010,simulated
