Instance,Reference_Value,Reference_Type,GAA_Value,GAP_Absolute,GAP_Percent,Is_Optimal,Iterations,Time_s,Vertices,Edges
le450_15a,15,ÓPTIMO (Garantizado),0.9000,-14.1000,-94.00,NO,50,0.000010,450,8168
le450_15b,15,ÓPTIMO (Garantizado),0.9000,-14.1000,-94.00,NO,50,0.000010,450,8169
le450_15c,15,ÓPTIMO (Garantizado),0.9000,-14.1000,-94.00,NO,50,0.000010,450,16680
le450_15d,15,ÓPTIMO (Garantizado),0.9000,-14.1000,-94.00,NO,50,0.000010,450,16750
le450_25a,25,ÓPTIMO (Garantizado),0.9000,-24.1000,-96.40,NO,50,0.000010,450,8260
le450_25b,25,ÓPTIMO (Garantizado),0.9000,-24.1000,-96.40,NO,50,0.000010,450,8263
le450_25c,25,ÓPTIMO (Garantizado),0.9000,-24.1000,-96.40,NO,50,0.000010,450,17343
le450_25d,25,ÓPTIMO (Garantizado),0.9000,-24.1000,-96.40,NO,50,0.000010,450,17425
le450_5a,5,ÓPTIMO (Garantizado),0.9000,-4.1000,-82.00,NO,50,0.000010,450,5714
le450_5b,5,ÓPTIMO (Garantizado),0.9000,-4.1000,-82.00,NO,50,0.000010,450,5734
le450_5c,5,ÓPTIMO (Garantizado),0.9000,-4.1000,-82.00,NO,50,0.000010,450,9803
le450_5d,5,ÓPTIMO (Garantizado),0.9000,-4.1000,-82.00,NO,50,0.000010,450,9757
