Instance,Reference_Value,Reference_Type,GAA_Value,GAP_Absolute,GAP_Percent,Is_Optimal,Iterations,Time_s,Vertices,Edges
fpsol2.i.1,65,ÓPTIMO,0.9000,-64.1000,-98.62,NO,50,0.000010,496,11654
fpsol2.i.2,30,ÓPTIMO,0.9000,-29.1000,-97.00,NO,50,0.000010,451,8691
fpsol2.i.3,30,ÓPTIMO,0.9000,-29.1000,-97.00,NO,50,0.000010,425,8688
inithx.i.1,54,ÓPTIMO,0.9000,-53.1000,-98.33,NO,50,0.000010,864,18707
inithx.i.2,31,ÓPTIMO,0.9000,-30.1000,-97.10,NO,50,0.000010,645,13979
inithx.i.3,31,ÓPTIMO,0.9000,-30.1000,-97.10,NO,50,0.000010,621,13969
mulsol.i.1,49,ÓPTIMO,0.9000,-48.1000,-98.16,NO,50,0.000010,197,3925
mulsol.i.2,31,ÓPTIMO,0.9000,-30.1000,-97.10,NO,50,0.000010,188,3885
mulsol.i.3,31,ÓPTIMO,0.9000,-30.1000,-97.10,NO,50,0.000010,184,3916
mulsol.i.4,31,ÓPTIMO,0.9000,-30.1000,-97.10,NO,50,0.000010,185,3946
mulsol.i.5,31,ÓPTIMO,0.9000,-30.1000,-97.10,NO,50,0.000010,186,3973
zeroin.i.1,49,ÓPTIMO,0.9000,-48.1000,-98.16,NO,50,0.000010,211,4100
zeroin.i.2,30,ÓPTIMO,0.9000,-29.1000,-97.00,NO,50,0.000010,211,3541
zeroin.i.3,30,ÓPTIMO,0.9000,-29.1000,-97.00,NO,50,0.000010,206,3540
